5
1800
Face_Jaw
Face_LowerLip
Face_LCorner
Face_RCorner
Face_UpperLip
0	0 0 0 0 0 0
	0 0 0 0 0 0
	0 0 0 0 0 0
	0 0 0 0 0 0
	0 0 0 0 0 0
33	0 0 0 0 0 0.3339
	0.0348 0.0731 -0.0013 0 0 0
	-0.0384 0.0768 0 0 0 0
	-0.0384 0.0768 0 0 0 0
	0 0 0 0 0 0
66	0 0 0 0 0 0.703
	0.0734 0.154 -0.0028 0 0 0
	-0.0809 0.1617 0 0 0 0
	-0.0809 0.1617 0 0 0 0
	0 0 0 0 0 0
100	0 0 0 0 0 1.0018
	0.1046 0.2195 -0.0041 0 0 0
	-0.1153 0.2305 0 0 0 0
	-0.1153 0.2305 0 0 0 0
	0 0 0 0 0 0
133	0 0 0 0 0 1.1249
	0.1174 0.2464 -0.0046 0 0 0
	-0.1294 0.2588 0 0 0 0
	-0.1294 0.2588 0 0 0 0
	0 0 0 0 0 0
166	-0.0216 -0.047 0 0 0 2.2393
	0.0699 0.3602 -0.0064 0 0 0
	-0.0731 0.1075 0.2231 -6.7702 -4.9318 2.6842
	0.0249 0.1076 -0.0984 1.8971 13.0124 1.2809
	0.0369 -0.1014 0 0 0 0
200	-0.0517 -0.1125 0.002 -0.0013 0 3.6406
	-0.012 0.4855 -0.0083 0 0 0
	0.0228 -0.138 0.5341 -16.2042 -11.8041 6.4246
	0.2576 -0.138 -0.2356 4.5406 31.1445 3.0659
	0.0883 -0.2428 0 0 0 0
233	-0.067 -0.1456 0.0027 -0.0013 0 4.2274
	-0.0662 0.5222 -0.0087 0 0 0
	0.0854 -0.2904 0.6915 -20.9767 -15.2807 8.3168
	0.3894 -0.2903 -0.305 5.878 40.3173 3.9689
	0.1144 -0.3143 0 0 0 0
266	-0.0533 -0.116 0.0021 -0.0013 0 3.7175
	-0.0573 0.5108 -0.008 0 0 0
	0.0508 -0.2498 0.7116 -16.7036 -12.1679 6.6226
	0.3097 -0.2413 -0.3381 4.6806 32.1045 3.1604
	0.1008 -0.2174 0 0 0 0
300	-0.0248 -0.0539 0.001 0 0 2.3852
	-0.0352 0.415 -0.0057 0 0 0
	-0.0084 -0.151 0.6319 -7.7691 -5.6595 3.0803
	0.1435 -0.1311 -0.3353 2.177 14.9323 1.4699
	0.0652 -0.0396 0 0 0 0
333	0 0 0 0 0 1.0536
	-0.0137 0.2848 -0.0032 0 0 0
	-0.0515 -0.0558 0.4831 0 0 0
	0 -0.0304 -0.2858 0 0 0
	0.0293 0.0986 0 0 0 0
366	-0.0317 -0.069 0.0012 0 0 1.8742
	-0.1809 0.4877 -0.0079 0 0 -18.1704
	0.3292 -0.6681 -0.2526 -13.006 -11.9374 4.5687
	0.3288 -0.6681 0.1273 8.3802 15.2561 4.2653
	0.2228 -0.3165 0 0 0 0
400	-0.0289 -0.0629 0.0011 0 0 2.7411
	-0.0598 0.3975 -0.0068 0 2.686 -26.4572
	0.2693 -0.2176 0.1405 -10.4038 -13.1885 3.4015
	0.2448 -0.2176 -0.2018 1.9868 13.9136 3.89
	0.2393 -0.1612 0 -1.0349 -1.8396 1.6524
433	-0.0221 -0.048 0 0 0 3.5591
	0.1039 0.2362 -0.0046 0 5.8694 -34.249
	0.1616 0.391 0.6347 -5.8668 -13.3378 1.5078
	0.1086 0.3909 -0.6061 -6.5268 10.6183 2.9687
	0.2341 0.0582 0 -2.2615 -4.0199 3.611
466	-0.0134 -0.0292 0 0 0 4.2818
	0.2787 0.0472 -0.0019 0 9.0777 -41.1147
	0.0351 1.0406 1.1465 -0.5881 -12.84 -0.6487
	-0.0465 1.0406 -1.0206 -15.562 6.4686 1.8085
	0.2167 0.2966 0 -3.4978 -6.2172 5.5848
500	-0.0053 -0.0115 0 0 0 4.8625
	0.4331 -0.1261 0 0 11.8383 -46.6231
	-0.0808 1.6143 1.5924 4.2395 -12.1494 -2.6047
	-0.1872 1.6143 -1.3799 -23.5203 2.563 0.7165
	0.1968 0.5087 0 -4.5614 -8.1078 7.2832
533	0 0 0 0 0 5.2544
	0.5356 -0.2404 0.002 0 13.6783 -50.3428
	-0.1573 1.9949 1.889 7.4231 -11.7206 -3.8964
	-0.2801 1.9949 -1.6191 -28.8029 0 0
	0.1841 0.6492 0 -5.2704 -9.3681 8.4152
566	0 0 0 0 0 5.5898
	0.5698 -0.2557 0.0022 0 14.5514 -53.5562
	-0.1673 2.1222 2.0096 7.8969 -12.4688 -4.1451
	-0.298 2.1222 -1.7225 -30.6414 0 0
	0.1959 0.6907 0 -5.6068 -9.966 8.9524
600	0 0 0 0 0 5.5898
	0.5698 -0.2557 0.0022 0 14.5514 -53.5562
	-0.1673 2.1222 2.0096 7.8969 -12.4688 -4.1451
	-0.298 2.1222 -1.7225 -30.6414 0 0
	0.1959 0.6907 0 -5.6068 -9.966 8.9524
633	0 0 0 0 0 5.538
	0.5645 -0.2533 0.0021 0 14.4164 -53.0592
	-0.1657 2.1025 1.9909 7.8236 -12.3531 -4.1067
	-0.2953 2.1025 -1.7065 -30.357 0 0
	0.1941 0.6842 0 -5.5548 -9.8735 8.8693
666	0 0 0 0 0 5.2024
	0.5303 -0.238 0.002 0 13.5428 -49.8439
	-0.1557 1.9751 1.8703 7.3495 -11.6045 -3.8578
	-0.2774 1.9751 -1.6031 -28.5174 0 0
	0.1823 0.6428 0 -5.2182 -9.2752 8.3318
700	0 0 0 0 0 4.6955
	0.4786 -0.2148 0.0018 0 12.2232 -44.9872
	-0.1405 1.7827 1.688 6.6334 -10.4738 -3.4819
	-0.2503 1.7827 -1.4469 -25.7387 0 0
	0.1646 0.5801 0 -4.7097 -8.3714 7.52
733	0 0 0 0 0 3.9104
	0.3836 -0.1377 0.001 0 9.8404 -36.2173
	-0.1195 1.4282 1.4187 5.3403 -8.432 -2.8031
	-0.2016 1.4314 -1.2002 -20.7212 0 0
	0.1361 0.4792 0 -3.7916 -6.7395 6.054
766	0 0 0 0 0 2.7779
	0.2451 -0.0225 0 0 6.3703 -23.4457
	-0.0894 0.9115 1.0314 3.4571 -5.4585 -1.8146
	-0.1307 0.9195 -0.8438 -13.4141 0 0
	0.095 0.3333 0 -2.4545 -4.3629 3.9191
800	0 0 0 0 0 1.5793
	0.1017 0.0905 -0.0011 0 2.7708 -10.1979
	-0.057 0.3768 0.6187 1.5037 -2.3742 -0.7893
	-0.0571 0.3892 -0.4676 -5.8346 0 0
	0.0516 0.1797 0 -1.0676 -1.8977 1.7046
833	0 0 0 0 0 0.5955
	-0.0077 0.161 -0.0018 0 0 0
	-0.0291 -0.0315 0.273 0 0 0
	0 -0.0171 -0.1615 0 0 0
	0.0165 0.0557 0 0 0 0
866	-0.0137 -0.0299 0 0 0 1.1471
	-0.0827 0.3019 -0.0044 0 0 -7.8738
	0.1262 -0.3073 0.0441 -5.6359 -5.1728 1.9798
	0.1422 -0.2992 -0.0357 3.6314 6.611 1.8483
	0.1058 -0.1058 0 0 0 0
900	-0.0254 -0.0552 0.001 0 0 1.4993
	-0.1447 0.3901 -0.0063 0 0 -14.5363
	0.2633 -0.5345 -0.2021 -10.4048 -9.5499 3.655
	0.263 -0.5345 0.1018 6.7042 12.2049 3.4123
	0.1782 -0.2532 0 0 0 0
933	-0.0135 -0.0294 0 0 0 3.5965
	0.2082 0.0796 -0.0022 0 7.2848 -34.5491
	0.0564 0.7779 0.8984 -1.5849 -11.3255 -0.1296
	-0.0092 0.7779 -0.8081 -11.7712 6.4965 1.8163
	0.1929 0.2109 0 -2.8069 -4.9892 4.4818
966	0 0 0 0 0 4.9749
	0.5071 -0.2276 0.0019 0 12.9508 -47.665
	-0.1489 1.8888 1.7885 7.0283 -11.0972 -3.6892
	-0.2652 1.8888 -1.533 -27.2708 0 0
	0.1743 0.6147 0 -4.9901 -8.8698 7.9676
1000	-0.0053 -0.0115 0 0 0 3.0087
	0.2443 -0.0416 0 0 7.015 -28.8621
	-0.0255 0.9112 0.9264 1.6284 -8.0105 -1.233
	-0.0886 0.9112 -0.809 -13.368 2.5554 0.7144
	0.1317 0.2799 0 -2.7029 -4.8044 4.3158
1033	-0.0122 -0.0266 0 0 0 0.7247
	-0.0699 0.1885 -0.003 0 0 -7.0259
	0.1272 -0.2583 -0.0977 -5.0289 -4.6158 1.7665
	0.1271 -0.2583 0.0492 3.2403 5.899 1.6492
