5
600
Face_Jaw
Face_LowerLip
Face_LCorner
Face_RCorner
Face_UpperLip
0	0 0 0 0 0 0
	0 0 0 0 0 0
	0 0 0 0 0 0
	0 0 0 0 0 0
	0 0 0 0 0 0
33	0 0 0 0 0 3.6893
	0.376 -0.1687 0.0014 0 9.6039 -35.347
	-0.1104 1.4007 1.3263 5.212 -8.2294 -2.7358
	-0.1967 1.4007 -1.1368 -20.2233 0 0
	0.1293 0.4558 0 -3.7005 -6.5776 5.9085
66	0 0 0 0 0 3.5584
	0.3449 -0.1139 0 0 8.8612 -32.6135
	-0.1094 1.2841 1.2945 4.8089 -7.593 -2.5242
	-0.1816 1.2879 -1.0908 -18.6593 0 0
	0.1236 0.435 0 -3.4143 -6.0689 5.4516
100	0 0 0 0 0 3.0317
	0.2692 -0.0293 0 0 6.9916 -25.7326
	-0.0973 1.0013 1.1242 3.7943 -5.991 -1.9916
	-0.1435 1.0097 -0.9215 -14.7225 0 0
	0.1037 0.3642 0 -2.6939 -4.7884 4.3014
133	0 0 0 0 0 2.2749
	0.1705 0.0646 0 0 4.533 -16.6838
	-0.0782 0.6328 0.8707 2.46 -3.8842 -1.2913
	-0.0932 0.6457 -0.6813 -9.5454 0 0
	0.0759 0.2651 0 -1.7466 -3.1046 2.7888
166	0 0 0 0 0 1.4535
	0.0704 0.1473 -0.0017 0 2.0232 -7.4464
	-0.0563 0.2592 0.5895 1.0979 -1.7336 -0.5763
	-0.0419 0.2755 -0.4229 -4.2603 0 0
	0.046 0.1593 0 -0.7795 -1.3856 1.2447
200	0 0 0 0 0 0.7329
	-0.0095 0.1981 -0.0022 0 0 0
	-0.0358 -0.0388 0.3361 0 0 0
	0 -0.0211 -0.1988 0 0 0
	0.0204 0.0686 0 0 0 0
233	-0.0691 -0.1502 0.0028 -0.0013 0 4.3609
	-0.0683 0.5387 -0.009 0 0 0
	0.0881 -0.2995 0.7133 -21.6391 -15.7632 8.5794
	0.4017 -0.2995 -0.3146 6.0636 41.5904 4.0942
	0.118 -0.3242 0 0 0 0
266	-0.0673 -0.1464 0.0027 -0.0013 0 4.2497
	-0.0666 0.5249 -0.0088 0 0 0
	0.0859 -0.2919 0.6951 -21.0871 -15.3611 8.3606
	0.3914 -0.2918 -0.3066 5.9089 40.5295 3.9898
	0.115 -0.3159 0 0 0 0
300	-0.0557 -0.1211 0.0022 -0.0013 0 3.5154
	-0.0551 0.4342 -0.0072 0 0 0
	0.071 -0.2414 0.575 -17.4438 -12.7071 6.9161
	0.3238 -0.2414 -0.2536 4.888 33.527 3.3004
	0.0951 -0.2613 0 0 0 0
333	-0.0572 -0.1243 0.0023 -0.0013 0 3.6095
	-0.0565 0.4459 -0.0074 0 0 0
	0.0729 -0.2479 0.5904 -17.9107 -13.0472 7.1012
	0.3324 -0.2479 -0.2604 5.0188 34.4244 3.3888
	0.0976 -0.2683 0 0 0 0
366	-0.0614 -0.1334 0.0024 -0.0013 0 3.8739
	-0.0607 0.4785 -0.008 0 0 0
	0.0783 -0.2661 0.6336 -19.2225 -14.0028 7.6213
	0.3568 -0.266 -0.2795 5.3864 36.9457 3.637
	0.1048 -0.288 0 0 0 0
400	-0.0643 -0.1398 0.0026 -0.0013 0 4.0592
	-0.0636 0.5014 -0.0084 0 0 0
	0.082 -0.2788 0.6639 -20.1418 -14.6725 7.9858
	0.3739 -0.2787 -0.2928 5.644 38.7125 3.8109
	0.1098 -0.3018 0 0 0 0
433	-0.062 -0.1349 0.0025 -0.0013 0 3.9159
	-0.0613 0.4837 -0.0081 0 0 0
	0.0791 -0.269 0.6405 -19.431 -14.1547 7.704
	0.3607 -0.2689 -0.2825 5.4448 37.3465 3.6764
	0.1059 -0.2911 0 0 0 0
466	-0.0536 -0.1166 0.0021 -0.0013 0 3.384
	-0.053 0.418 -0.007 0 0 0
	0.0684 -0.2324 0.5535 -16.7915 -12.232 6.6575
	0.3117 -0.2324 -0.2441 4.7052 32.2734 3.177
	0.0915 -0.2516 0 0 0 0
500	-0.0417 -0.0907 0.0016 -0.0012 0 2.6322
	-0.0412 0.3251 -0.0054 0 0 0
	0.0532 -0.1808 0.4305 -13.0612 -9.5145 5.1785
	0.2424 -0.1807 -0.1899 3.6599 25.1036 2.4712
	0.0712 -0.1957 0 0 0 0
533	-0.0278 -0.0604 0.0011 0 0 1.7548
	-0.0275 0.2167 -0.0036 0 0 0
	0.0354 -0.1205 0.287 -8.7074 -6.343 3.4523
	0.1616 -0.1205 -0.1266 2.4399 16.7357 1.6475
	0.0474 -0.1304 0 0 0 0
566	-0.0134 -0.0291 0 0 0 0.846
	-0.0132 0.1045 -0.0017 0 0 0
	0.0171 -0.0581 0.1383 -4.1978 -3.058 1.6643
	0.0779 -0.0581 -0.061 1.1763 8.0683 0.7942
	0.0228 -0.0629 0 0 0 0
600	0 0 0 0 0 0
	0 0 0 0 0 0
	0 0 0 0 0 0
	0 0 0 0 0 0
	0 0 0 0 0 0
